id,system,feature,priority,dependency,status,acceptance_criteria,test_requirement,evidence,notes
BOT-0001,nlu,"Intent taxonomy (price, deposit, delivery, hours, location, contact, greeting, policy, fallback)",P0,—,VERIFIED,All core intents detected with confidence,unit intents.test.js + golden,tests/unit/intents.test.js,v41
BOT-0002,nlu,"Vehicle name recognition (Vision, Air Blade, Wave, Vision, Sirius, Flexy...)",P0,—,VERIFIED,Vietnamese bike names map to pricing rows,unit vehicles.test.js,tests/unit/vehicles.test.js,v41
BOT-0003,nlu,"Vehicle alias & synonym dictionary (xe ga, xe số, xe côn, winner...)",P0,—,VERIFIED,Aliases resolve to categories,unit synonyms.test.js,tests/unit/synonyms.test.js,v41
BOT-0004,nlu,"Duration recognition (ngày/tuần/tháng, day/week/month, digits)",P0,—,VERIFIED,Duration entity extracted and normalized to days,unit duration.test.js,tests/unit/duration.test.js,v41
BOT-0005,nlu,"Duration written in words (""bay ngay""=7 days) ",P1,—,VERIFIED,Word-number durations parsed,unit duration.test.js,tests/unit/duration.test.js,v41
BOT-0006,nlu,Typo tolerance via normalizer,P1,—,VERIFIED,Common typos still match intents,unit normalizer.test.js + golden,tests/unit/normalizer.test.js,v41
BOT-0007,nlu,"Missing-diacritics input (""dia chi o dau"")",P1,—,VERIFIED,Accent-stripped query resolves correctly,golden conversation tests,tests/integration/golden.test.js,v42
BOT-0008,nlu,"Slang & colloquial Vietnamese (""xe bao nhieu tien"", ""thue xe mot tuan"")",P1,—,VERIFIED,Slang phrasing hits pricing intent,golden conversation tests,tests/integration/golden.test.js,v42
BOT-0009,nlu,Mixed Vietnamese/English queries,P1,—,VERIFIED,Mixed-language sentence answered,golden conversation tests,tests/integration/golden.test.js,v42
BOT-0010,nlu,Language detection (vi/en) on analyzer,P1,—,VERIFIED,analyzer.language field set,unit analyzer.test.js,tests/unit/analyzer.test.js,v41
BOT-0011,nlu,"Contact channel entity (zalo, whatsapp, phone, email)",P1,—,VERIFIED,Channel intent routes to correct contact,unit contact-channel.test.js,tests/unit/contact-channel.test.js,v42
BOT-0012,nlu,Location entity recognition,P1,—,VERIFIED,Location questions resolved to address,unit location.test.js,tests/unit/location.test.js,v42
BOT-0013,nlu,Tokenizer handles Vietnamese syllable splitting,P0,—,VERIFIED,Tokens produced deterministically,unit tokenizer.test.js,tests/unit/tokenizer.test.js,v41
BOT-0014,nlu,Fuzzy string matching (Levenshtein-style match util),P1,—,VERIFIED,Fuzzy matches score above threshold,unit match.test.js,tests/unit/match.test.js,v41
BOT-0015,nlu,"Price+duration compound query (""Vision 1 tuan bao nhieu"")",P0,—,VERIFIED,Both entities extracted in one pass,golden + regression,tests/integration/golden.test.js,v42
BOT-0016,nlu,"Price-only query with budget (""xe ga 150k co xe gi"")",P0,—,VERIFIED,Budget-bounded vehicle suggestion returned,golden + pricing rule tests,tests/integration/golden.test.js,v42
BOT-0017,nlu,"Cheap-superlative queries (""xe re nhat"")",P1,—,VERIFIED,Cheapest vehicle suggestion,golden conversations,tests/integration/golden.test.js,v42
BOT-0018,nlu,"Follow-up with pronoun (""thuê 1 tháng thì sao"")",P1,—,VERIFIED,Context slot reuse for follow-up,integration conversations.test.js,tests/integration/conversations.test.js,v42
BOT-0019,nlu,"Ellipsis/short messages (""bao gio mo cua?"")",P2,—,VERIFIED,Short queries classified,golden conversations,tests/integration/golden.test.js,v42
BOT-0020,nlu,"English duration words (""for seven days"")",P1,—,VERIFIED,English duration parsed,golden conversations,tests/integration/golden.test.js,v42
BOT-0021,nlu,"Ambiguous vehicle partial names (""Air""->Air Blade)",P2,—,VERIFIED,Partial name resolves to best candidate,unit vehicles/match,tests/unit/vehicles.test.js,v42
BOT-0022,nlu,Negative / contradictory questions,P2,—,VERIFIED,"No crash, honest fallback",golden conversations,tests/integration/golden.test.js,v42
BOT-0023,nlu,Repeated identical questions idempotent,P2,—,VERIFIED,"Same answer, no state corruption",integration conversations.test.js,tests/integration/conversations.test.js,v42
BOT-0024,nlu,Unsupported/out-of-domain questions,P0,—,VERIFIED,"Honest fallback, no hallucination",golden + fallback rule tests,tests/integration/golden.test.js,v42
BOT-0025,nlu,Phone number / contact digit recognition,P2,—,VERIFIED,Contact intent on phone mention,unit contact-channel,tests/unit/contact-channel.test.js,v42
BOT-0026,nlu,Expand slang dictionary with Hanoi motorbike slang,P3,—,PLANNED,≥20 new slang phrases covered,add golden cases,—,next intelligence run
BOT-0027,nlu,Regional accent variants (miền Bắc/Tây phrasing),P3,—,PLANNED,Variant phrases resolve,golden cases,—,
BOT-0028,nlu,Emoji & emoticon handling in queries,P3,—,PLANNED,Emoji stripped without breaking intent,unit normalizer,—,
BOT-0029,nlu,Typo distance tuning (>2 edit distance),P3,—,PLANNED,Threshold tuned with zero regressions,full suite re-run,—,
BOT-0030,nlu,Voice-input normalization (d Without punctuation),P3,—,PLANNED,Speech-style text handled,golden cases,—,
BOT-0031,nlu,"Abbreviated bike models (""AB""->Air Blade, ""VS""->Vision)",P3,—,PLANNED,Common abbreviations mapped,unit vehicles,—,
BOT-0032,rules,Pricing rule (day/week/month from pricing.json),P0,—,VERIFIED,Exact prices from repo data only,unit rules + golden,tests/unit/rules.test.js,v41
BOT-0033,rules,Deposit rule (verified deposit policy),P0,—,VERIFIED,Deposit answer 100% from business.json,golden + fact gates,tests/integration/golden.test.js,v42
BOT-0034,rules,Delivery/pickup rule,P0,—,VERIFIED,Delivery policy deterministic,unit rules,tests/unit/rules.test.js,v42
BOT-0035,rules,"Return rule (late return, return process)",P0,—,VERIFIED,Return policy deterministic,unit rules,tests/unit/rules.test.js,v42
BOT-0036,rules,Opening hours rule,P0,—,VERIFIED,Hours from business.json only,unit rules + golden,tests/integration/golden.test.js,v42
BOT-0037,rules,Location/address rule,P0,—,VERIFIED,Address exact from business.json,golden + fact gates,tests/integration/golden.test.js,v42
BOT-0038,rules,Contact rule (phone/zalo/email routing),P0,—,VERIFIED,Contact facts exact,unit contact-channel + golden,tests/unit/contact-channel.test.js,v42
BOT-0039,rules,"Policy rule (license, age, general terms)",P0,—,VERIFIED,Policy facts from data only,unit rules,tests/unit/rules.test.js,v42
BOT-0040,rules,Greeting rule (vi/en),P1,—,VERIFIED,Greeting localized,unit rules,tests/unit/rules.test.js,v41
BOT-0041,rules,Bike-type/category rule (xe số/xe ga/xe điện),P0,—,VERIFIED,Category suggestions from pricing data,golden + unit,tests/unit/rules.test.js,v42
BOT-0042,rules,Fallback rule (honest no-info),P0,—,VERIFIED,Never fabricates; offers contact,golden conversations,tests/integration/golden.test.js,v42
BOT-0043,rules,Rule registry with priority ordering,P0,—,VERIFIED,Deterministic rule ordering,unit rules,tests/unit/rules.test.js,v41
BOT-0044,rules,"Shared rule utilities (formatters, guards)",P1,—,VERIFIED,No duplication across rules,unit rules,tests/unit/rules.test.js,v42
BOT-0045,rules,Cheapest-bike recommendation rule,P1,—,VERIFIED,Sorts by verified price,golden,tests/integration/golden.test.js,v42
BOT-0046,rules,Budget-filtered suggestion rule,P1,—,VERIFIED,Only vehicles within budget,golden,tests/integration/golden.test.js,v42
BOT-0047,rules,Insurance requirement rule,P2,—,PLANNED,Deterministic insurance answer,add data + tests,—,needs business data
BOT-0048,rules,Multi-vehicle comparison rule,P2,—,PLANNED,Side-by-side verified prices,integration test,—,
BOT-0049,rules,Promotion/discount rule,P2,—,PLANNED,Promos from repo data only,fact gate tests,—,needs business data
BOT-0050,rules,Long-term rental (1 tháng+) special pricing rule,P2,—,PLANNED,Monthly pricing applied,golden cases,—,needs business data
BOT-0051,rules,Helmet/accessory inclusion rule,P3,—,PLANNED,Accessories answered from data,fact gate tests,—,needs business data
BOT-0052,context,Session state machine (new/existing conversation),P1,—,VERIFIED,Session lifecycle correct,unit session.test.js,tests/unit/session.test.js,v41
BOT-0053,context,Conversation history ring buffer,P1,—,VERIFIED,History bounded & replayable,unit history.test.js,tests/unit/history.test.js,v41
BOT-0054,context,"Slot tracking (vehicle, duration, category)",P0,—,VERIFIED,Slots filled and reused,unit slots.test.js,tests/unit/slots.test.js,v42
BOT-0055,context,Slot carry-over for follow-up turns,P1,—,VERIFIED,Follow-up reuses last vehicle/duration,integration conversations,tests/integration/conversations.test.js,v42
BOT-0056,context,Agenda: pending question resolution,P2,—,VERIFIED,Agenda queue processed,unit agenda.test.js,tests/unit/agenda.test.js,v42
BOT-0057,context,"Multi-turn pronoun/reference resolution (xe đó, nó)",P2,—,VERIFIED,Reference resolves to last vehicle,integration conversations,tests/integration/conversations.test.js,v42
BOT-0058,context,Topic-change detection resets stale slots,P3,—,PLANNED,Stale slots cleared on topic switch,integration cases,—,
BOT-0059,context,Conversation summary for long chats,P3,—,PLANNED,Summary cap N turns,unit test,—,
BOT-0060,search,BM25 retriever over repo business corpus,P0,—,VERIFIED,Top-k relevant docs returned,unit search.test.js,tests/unit/search.test.js,v42
BOT-0061,search,Corpus builder from business/pricing/faq JSON,P0,—,VERIFIED,All data indexed,unit search,tests/unit/search.test.js,v42
BOT-0062,search,Bilingual retrieval (vi + en docs),P1,—,VERIFIED,English queries retrieve,unit search + golden,tests/unit/search.test.js,v42
BOT-0063,search,Query normalization before retrieval,P1,—,VERIFIED,No raw text leakage,unit search,tests/unit/search.test.js,v42
BOT-0064,search,Top-k context assembly for LLM (max 4 docs),P0,—,VERIFIED,Prompt bounded,unit local-ai + grounding,tests/unit/local-ai.test.js,v42
BOT-0065,search,Retrieval-only answer mode (no LLM),P1,—,VERIFIED,Retrieval answers without model,golden + engine tests,tests/integration/golden.test.js,v42
BOT-0066,search,Approved article index (future blog content),P3,—,PLANNED,Article corpus with source tags,retrieval tests,—,needs content approval
BOT-0067,search,Semantic embeddings via Transformers.js (flagged off),P3,—,PLANNED,Optional embedding rerank,benchmark first,—,local-ai doc notes
BOT-0068,search,Hybrid BM25 + vector scoring,P3,—,PLANNED,Better relevance at zero hallucination,retrieval regression,—,depends embeddings
BOT-0069,search,Retrieval relevance benchmark harness,P2,—,PLANNED,Measurable relevance metrics,new test script,—,
BOT-0070,ai,"Capability detection (WebGPU, memory, device)",P0,—,VERIFIED,Detect before model load,unit local-ai.test.js,tests/unit/local-ai.test.js,v42
BOT-0071,ai,WebLLM lazy loader (opt-in only),P0,—,VERIFIED,Never auto-downloads,unit local-ai + embed tests,tests/unit/local-ai.test.js,v42
BOT-0072,ai,Model config: Qwen2.5-0.5B-Instruct q4f16 MLC,P1,—,VERIFIED,"Config wired, documented",docs/LOCAL-AI.md,docs/LOCAL-AI.md,v42
BOT-0073,ai,Grounding prompt (verified-context-only instructions),P0,—,VERIFIED,Prompt includes no-fabrication rules,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0074,ai,"Output validator (length, echo, script, NOINFO)",P0,—,VERIFIED,Bad outputs rejected,unit local-ai,tests/unit/local-ai.test.js,v42
BOT-0075,ai,Fact guard: numbers must exist in verified context,P0,—,VERIFIED,Unverified numbers stripped,unit local-ai + grounding tests,tests/unit/local-ai.test.js,v42
BOT-0076,ai,AI disclosure footer on every AI answer,P0,—,VERIFIED,Disclosure present,golden/engine,tests/integration/golden.test.js,v42
BOT-0077,ai,LLM only as last resort (rules+retrieval decline first),P0,—,VERIFIED,Priority order enforced,unit local-ai + engine,tests/unit/local-ai.test.js,v42
BOT-0078,ai,Model asset caching via Cache API,P1,—,VERIFIED,Second visit uses cache,docs/LOCAL-AI.md,docs/LOCAL-AI.md,v42
BOT-0079,ai,Download progress UI states,P1,—,VERIFIED,Progress visible,manual + ai-settings.js,assets/js/ai-settings.js,v42
BOT-0080,ai,Enable/disable Local AI toggle persisted,P1,—,VERIFIED,Preference stored,unit local-store,tests/unit/local-store.test.js,v42
BOT-0081,ai,WASM-only device degrades gracefully,P0,—,VERIFIED,No crash without WebGPU,unit capability tests,tests/unit/local-ai.test.js,v42
BOT-0082,ai,Model benchmark: Qwen2.5-0.5B vi quality notes,P2,—,DONE,Benchmark recorded,docs/LOCAL-AI.md,docs/LOCAL-AI.md,"v42, needs measured numbers"
BOT-0083,ai,Benchmark alternate model (Llama-3.2-1B q4f16),P3,—,PLANNED,Comparative vi benchmark,benchmark script,—,
BOT-0084,ai,Benchmark alternate model (Phi-3.5-mini),P3,—,PLANNED,Comparative vi benchmark,benchmark script,—,
BOT-0085,ai,Measured first-token latency reporting in UI,P3,—,PLANNED,Live latency shown,manual check,—,
BOT-0086,ai,Streaming token display,P3,—,PLANNED,Streamed render,embed+ui tests,—,
BOT-0087,ai,Retry/backoff on model init failure,P3,—,PLANNED,No infinite spinners,failure tests,—,
BOT-0088,app,Shared core wiring for direct + embed,P0,—,VERIFIED,One engine both modes,unit+integration engine tests,tests/integration/embed.test.js,v42
BOT-0089,app,Query params: lang/theme/source/embed,P1,—,VERIFIED,Params applied,unit config/query-config,tests/unit/config.test.js,v42
BOT-0090,app,index.html standalone layout,P0,—,VERIFIED,Renders on Pages,manual smoke,https://thuexemayhanoi.github.io/aichatbot/,v42
BOT-0091,app,Dark/light/auto theme,P1,—,VERIFIED,Theme applied,manual smoke,assets/css/style.css,v42
BOT-0092,app,Responsive layout (mobile-first CSS),P1,—,VERIFIED,Media queries present,manual + ui-ux workflow,assets/css/style.css,v42
BOT-0093,app,iPhone safe-area support (env(safe-area-inset)),P1,—,VERIFIED,Safe areas respected,CSS audit,assets/css/style.css,v42
BOT-0094,app,Keyboard accessibility & Escape to close,P1,—,VERIFIED,Escape closes widget,embed tests,tests/integration/embed.test.js,v42
BOT-0095,app,Focus management on open/close,P1,—,VERIFIED,Focus moves into widget,embed tests,tests/integration/embed.test.js,v42
BOT-0096,app,Message composer with send button,P1,—,VERIFIED,Composer works,manual smoke,assets/js/main.js,v42
BOT-0097,app,Chat scroll-to-bottom on new message,P2,—,VERIFIED,Auto-scroll,manual smoke,assets/js/main.js,v42
BOT-0098,app,Loading state during NLU turn,P2,—,VERIFIED,Visible indicator,manual smoke,assets/js/main.js,v42
BOT-0099,app,"Error state (recoverable, no blank screen)",P1,—,VERIFIED,Never blank,golden fallback,tests/integration/golden.test.js,v42
BOT-0100,app,localStorage persistence of settings,P1,—,VERIFIED,Settings survive refresh,unit local-store,tests/unit/local-store.test.js,v42
BOT-0101,app,English UI strings,P1,—,VERIFIED,lang=en full UI,manual smoke,assets/js/main.js,v42
BOT-0102,app,aria-live answer announcements,P2,—,PLANNED,Screen reader announces,a11y audit,—,
BOT-0103,app,Reduced-motion preference,P3,—,PLANNED,prefers-reduced-motion honored,CSS audit,—,
BOT-0104,app,High-contrast palette audit (WCAG AA),P2,—,PLANNED,Contrast ≥4.5:1,a11y audit,—,
BOT-0105,app,Very short screen (landscape phone) layout,P3,—,PLANNED,No clipping at 320px height,viewport matrix,—,
BOT-0106,app,Landscape orientation layout,P3,—,PLANNED,Usable in landscape,viewport matrix,—,
BOT-0107,app,Message timestamp display,P3,—,PLANNED,Timestamps on messages,ui test,—,
BOT-0108,embed,embed.js one-script-tag widget,P0,—,VERIFIED,Single tag works,integration embed.test.js,tests/integration/embed.test.js,v42
BOT-0109,embed,iframe isolation (no CSS bleed either direction),P0,—,VERIFIED,Isolation verified,embed tests,tests/integration/embed.test.js,v42
