ID,Area,Priority,Dependency,Route,Issue,Current State,Target State,Implementation,Files,Tests,SEO Impact,UX Impact,Accessibility Impact,Performance Impact,Risk,Status,Attempts,Evidence,Verification,Rollback,Notes
BLOGUX-0001,BLOG SHELL,P1,,/blog/,Blog pages look like a classic blog not an app,Legacy header + plain list,Compact app header (back to Agent + brand + theme control),DONE v54,blog/index.html + 6 hubs + 2 articles,tests/unit/blog-app-ux.test.js (shell contract),Medium,High,Medium,Low,Low,DONE,1,git diff vs cf24106,node --test green,revert commit,Header shared verbatim across pages
BLOGUX-0002,LIGHT/DARK/AUTO,P1,BLOGUX-0001,/blog/,No theme mechanism on blog,Blog fixed single theme,Light/Dark/Auto toggle persisted in localStorage,DONE v54,assets/js/theme.js; no-flash inline script; #blog-theme-toggle,tests/unit/blog-app-ux.test.js (resolveTheme/readPreference/applyTheme),None,High,High,Low,Low,DONE,1,16/16 new tests green,node --test green,revert commit,Agent root theme deferred to v55+ (recorded BLOGUX-0021)
BLOGUX-0003,THEME NO-FLASH,P1,BLOGUX-0002,/blog/,Theme could flash wrong mode on first paint,Inline head script applied pre-paint,motoai-theme inline script in every blog page head,DONE v54,blog/**/*.html head,tests/unit/blog-app-ux.test.js (no-flash assertion),None,Medium,None,Low,Low,DONE,1,head script present in all 9 pages,test asserts /motoai-theme/ in every page,revert commit,Real-device flash behavior needs manual check
BLOGUX-0004,BUSINESS STATUS,P1,,/blog/ + hubs,Pages never showed whether the shop is open,Static opening hours text,Open/closed chip computed from business.json hours in Asia/Ho_Chi_Minh,DONE v54,assets/js/business-status.js; #blog-business-status chip; assets/js/blog-app.js fetch,tests/unit/blog-app-ux.test.js (ICT boundaries + midnight wrap + invalid data),None,High,Medium,Low,Low,DONE,1,02:00Z->open 14:00Z->closed boundary tests green,node --test green,revert commit,Chip hidden (not guessed) when hours missing
BLOGUX-0005,BLOG HOME,P1,BLOGUX-0001,/blog/,Home was a raw link list,Plain index,Content app: compact header + status + search + category bar + published cards,DONE v54,blog/index.html,tests/unit/blog-foundation.test.js + blog-app-ux shell test,High,High,Low,Low,Low,DONE,1,live fetch 200 after deploy,CI + Pages success,revert commit,No fake popularity data — only real published articles
BLOGUX-0006,CATEGORY HUB,P1,BLOGUX-0001,/blog/{app,thue-xe,xe-dien,huong-dan,an-toan,dia-phuong}/,Hubs lacked nav context,Hub pages with plain list,Same shell + active category (aria-current) + breadcrumb + honest empty state,DONE v54,6 hub index.html files,tests/unit/blog-app-ux.test.js (hub aria-current + breadcrumb),High,High,Medium,Low,Low,DONE,1,aria-current=page on own slug in all 6 hubs,node --test green,revert commit,Hubs with no articles show truthful Chưa có bài state
BLOGUX-0007,CATEGORY BAR,P1,BLOGUX-0005,/blog/,No category navigation,Category links scattered,Single non-wrapping horizontal scroll row of 6 categories,DONE v54,assets/css/blog.css (.blog-categories),tests/unit/blog-app-ux.test.js (flex-wrap nowrap + overflow-x auto),Medium,High,Medium,Low,Low,DONE,1,CSS contract test green,node --test green,revert commit,Scroll feel on 320px needs manual check
BLOGUX-0008,ARTICLE EXPERIENCE,P1,BLOGUX-0001,/blog/app/app-thue-xe-may-la-gi/ + /blog/huong-dan/thu-tuc-thue-xe-may/,Articles had unrendered template placeholders,Liquid placeholders {{ business... }} visible in deposit text,Verified values rendered (2.000.000đ–5.000.000đ from business.json); app shell added,DONE v54,2 article index.html files,tests/unit/blog-app-ux.test.js (no {{ placeholders),High,High,None,Low,Medium,DONE,1,grep -rn {{ blog -> empty,node --test green,revert commit,Deposit values cross-checked against data/business/business.json policies.deposit
BLOGUX-0009,CONTACT/CONVERSION,P1,BLOGUX-0001,All blog pages,Contact hrefs had to be maintained per page; risk of hard-coding,Template placeholders / hard-coded risk,Runtime data-contact-ref anchors (call/zalo/whatsapp/map) filled from business.json,DONE v54,.blog-contacts rows + assets/js/blog-app.js CONTACT_REFS,tests/unit/blog-app-ux.test.js (no hard-coded contact + refs coverage),None,High,Medium,Low,Medium,DONE,1,no zalo.me|wa.me|maps.app.goo.gl href in any blog html,node --test green,revert commit,Links hidden (not guessed) when data missing
BLOGUX-0010,AGENT INTEGRATION,P1,BLOGUX-0001,/blog/ + articles,Blog had no clear path back to Agent,Weak back link,Compact ← Agent link in header + ⚡ Hỏi Agent primary CTA,DONE v54,blog-back header link; ⚡ Hỏi Agent CTA,tests/unit/blog-foundation.test.js (Hỏi Agent assertion),Medium,High,Low,Low,Low,DONE,1,assertion green since v47 retest,node --test green,revert commit,No query-param context passing (kept simple per spec)
