article_id,batch_id,category,status,primary_keyword,secondary_keywords,search_intent,working_title,slug,output_path,parent_hub,local_scope,requires_sources,source_policy,internal_link_targets,commercial_link_target,agent_retrieval,author,score,quality_status,repair_attempts,published_date,last_checked,notes
BA-0001,B01,APP,PUBLISHED,app thuê xe máy là gì,App & Ứng dụng; app thuê xe máy là gì,informational-product,App Thuê xe Máy là gì,app-thue-xe-may-la-gi,blog/app/app-thue-xe-may-la-gi/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,2026-09-26,2026-09-26,pilot/fixture
BA-0002,B01,RENT,PLANNED,thuê xe máy giá rẻ,Thuê xe máy; thuê xe máy giá rẻ,commercial-informational,Thuê xe Máy Giá rẻ,thue-xe-may-gia-re,blog/thue-xe/thue-xe-may-gia-re/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0003,B01,EV,PLANNED,app thuê xe điện,Xe điện / xe máy điện; app thuê xe điện,informational-product,App Thuê xe Điện,app-thue-xe-dien,blog/xe-dien/app-thue-xe-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0004,B01,GUIDE,PUBLISHED,thủ tục thuê xe máy,Hướng dẫn / thủ tục; thủ tục thuê xe máy,informational,Thủ Tục Thuê xe Máy,thu-tuc-thue-xe-may,blog/huong-dan/thu-tuc-thue-xe-may/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,2026-09-26,2026-09-26,pilot/fixture
BA-0005,B01,SAFE,PLANNED,luật giao thông đường bộ cơ bản,An toàn / pháp lý; luật giao thông đường bộ cơ bản,informational-legal,Luật Giao Thông Đường bộ cơ Bản,luat-giao-thong-duong-bo-co-ban,blog/an-toan/luat-giao-thong-duong-bo-co-ban/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0006,B01,LOCAL,PLANNED,thuê xe máy quanh long biên,Địa phương / du lịch; thuê xe máy quanh long biên,local-informational,Thuê xe Máy Quanh Long Biên,thue-xe-may-quanh-long-bien,blog/dia-phuong/thue-xe-may-quanh-long-bien/index.html,blog/dia-phuong/,Long Biên,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0007,B01,APP,PLANNED,cách dùng ứng dụng thuê xe máy,App & Ứng dụng; cách dùng ứng dụng thuê xe máy,informational-product,Cách Dùng Ứng Dụng Thuê xe Máy,cach-dung-ung-dung-thue-xe-may,blog/app/cach-dung-ung-dung-thue-xe-may/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0008,B01,RENT,PLANNED,giá thuê xe máy theo ngày,Thuê xe máy; giá thuê xe máy theo ngày,commercial-informational,Giá Thuê xe Máy Theo Ngày,gia-thue-xe-may-theo-ngay,blog/thue-xe/gia-thue-xe-may-theo-ngay/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0009,B01,EV,PLANNED,ứng dụng thuê xe máy điện,Xe điện / xe máy điện; ứng dụng thuê xe máy điện,informational-product,Ứng Dụng Thuê xe Máy Điện,ung-dung-thue-xe-may-dien,blog/xe-dien/ung-dung-thue-xe-may-dien/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0010,B01,GUIDE,PLANNED,giấy tờ cần khi thuê xe,Hướng dẫn / thủ tục; giấy tờ cần khi thuê xe,informational,Giấy tờ Cần Khi Thuê xe,giay-to-can-khi-thue-xe,blog/huong-dan/giay-to-can-khi-thue-xe/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0011,B01,SAFE,PLANNED,nồng độ cồn khi lái xe,An toàn / pháp lý; nồng độ cồn khi lái xe,informational-legal,Nồng độ Cồn Khi Lái xe,nong-do-con-khi-lai-xe,blog/an-toan/nong-do-con-khi-lai-xe/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0012,B01,LOCAL,PLANNED,đi phố cổ bằng xe máy,Địa phương / du lịch; đi phố cổ bằng xe máy,local-informational,đi Phố cổ Bằng xe Máy,di-pho-co-bang-xe-may,blog/dia-phuong/di-pho-co-bang-xe-may/index.html,blog/dia-phuong/,Phố cổ,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0013,B01,APP,PLANNED,ứng dụng thuê xe có an toàn không,App & Ứng dụng; ứng dụng thuê xe có an toàn không,informational-product,Ứng Dụng Thuê xe có an Toàn Không,ung-dung-thue-xe-co-an-toan-khong,blog/app/ung-dung-thue-xe-co-an-toan-khong/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0014,B01,RENT,PLANNED,thuê xe máy theo tuần,Thuê xe máy; thuê xe máy theo tuần,commercial-informational,Thuê xe Máy Theo Tuần,thue-xe-may-theo-tuan,blog/thue-xe/thue-xe-may-theo-tuan/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0015,B01,EV,PLANNED,chọn xe điện phù hợp,Xe điện / xe máy điện; chọn xe điện phù hợp,informational-product,Chọn xe Điện Phù Hợp,chon-xe-dien-phu-hop,blog/xe-dien/chon-xe-dien-phu-hop/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0016,B01,GUIDE,PLANNED,hướng dẫn đặt xe nhanh,Hướng dẫn / thủ tục; hướng dẫn đặt xe nhanh,informational,Hướng Dẫn Đặt xe Nhanh,huong-dan-dat-xe-nhanh,blog/huong-dan/huong-dan-dat-xe-nhanh/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0017,B01,SAFE,PLANNED,mũ bảo hiểm chuẩn,An toàn / pháp lý; mũ bảo hiểm chuẩn,informational-legal,mũ Bảo Hiểm Chuẩn,mu-bao-hiem-chuan,blog/an-toan/mu-bao-hiem-chuan/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0018,B01,LOCAL,PLANNED,du lịch hoàn kiếm bằng xe máy,Địa phương / du lịch; du lịch hoàn kiếm bằng xe máy,local-informational,du Lịch Hoàn Kiếm Bằng xe Máy,du-lich-hoan-kiem-bang-xe-may,blog/dia-phuong/du-lich-hoan-kiem-bang-xe-may/index.html,blog/dia-phuong/,Hoàn Kiếm,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0019,B01,APP,PLANNED,cách tính giá thuê xe bằng app,App & Ứng dụng; cách tính giá thuê xe bằng app,informational-product,Cách Tính Giá Thuê xe Bằng App,cach-tinh-gia-thue-xe-bang-app,blog/app/cach-tinh-gia-thue-xe-bang-app/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0020,B01,RENT,PLANNED,thuê xe máy theo tháng,Thuê xe máy; thuê xe máy theo tháng,commercial-informational,Thuê xe Máy Theo Tháng,thue-xe-may-theo-thang,blog/thue-xe/thue-xe-may-theo-thang/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0021,B01,EV,PLANNED,thuê xe điện theo ngày,Xe điện / xe máy điện; thuê xe điện theo ngày,informational-product,Thuê xe Điện Theo Ngày,thue-xe-dien-theo-ngay,blog/xe-dien/thue-xe-dien-theo-ngay/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0022,B01,GUIDE,PLANNED,quy trình nhận xe,Hướng dẫn / thủ tục; quy trình nhận xe,informational,Quy Trình Nhận xe,quy-trinh-nhan-xe,blog/huong-dan/quy-trinh-nhan-xe/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0023,B01,SAFE,PLANNED,tốc độ cho phép trong phố,An toàn / pháp lý; tốc độ cho phép trong phố,informational-legal,Tốc độ Cho Phép Trong Phố,toc-do-cho-phep-trong-pho,blog/an-toan/toc-do-cho-phep-trong-pho/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0024,B01,LOCAL,PLANNED,hồ tây và xe máy,Địa phương / du lịch; hồ tây và xe máy,local-informational,hồ Tây và xe Máy,ho-tay-va-xe-may,blog/dia-phuong/ho-tay-va-xe-may/index.html,blog/dia-phuong/,hồ Tây,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0025,B01,APP,PLANNED,chọn xe bằng Agent,App & Ứng dụng; chọn xe bằng Agent,informational-product,Chọn xe Bằng Agent,chon-xe-bang-agent,blog/app/chon-xe-bang-agent/index.html,blog/app/,,no,no-external,blog/app/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0026,B01,RENT,PLANNED,cho thuê xe máy thủ tục đơn giản,Thuê xe máy; cho thuê xe máy thủ tục đơn giản,commercial-informational,Cho Thuê xe Máy Thủ Tục Đơn Giản,cho-thue-xe-may-thu-tuc-don-gian,blog/thue-xe/cho-thue-xe-may-thu-tuc-don-gian/index.html,blog/thue-xe/,,no,no-external,blog/thue-xe/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0027,B01,EV,PLANNED,thuê xe điện dài ngày,Xe điện / xe máy điện; thuê xe điện dài ngày,informational-product,Thuê xe Điện Dài Ngày,thue-xe-dien-dai-ngay,blog/xe-dien/thue-xe-dien-dai-ngay/index.html,blog/xe-dien/,,no,no-external,blog/xe-dien/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0028,B01,GUIDE,PLANNED,quy trình trả xe,Hướng dẫn / thủ tục; quy trình trả xe,informational,Quy Trình Trả xe,quy-trinh-tra-xe,blog/huong-dan/quy-trinh-tra-xe/index.html,blog/huong-dan/,,no,no-external,blog/huong-dan/; /,none,yes,MotoAI Editorial,,,0,,,
BA-0029,B01,SAFE,PLANNED,đi xe không giấy phép,An toàn / pháp lý; đi xe không giấy phép,informational-legal,đi xe Không Giấy Phép,di-xe-khong-giay-phep,blog/an-toan/di-xe-khong-giay-phep/index.html,blog/an-toan/,,yes,legal-gate,blog/an-toan/; /,none,no,MotoAI Editorial,,,0,,,legal-gate: CLAIM->SUBJECT->CONDITION->RULE->VERSION->PRIMARY SOURCE required
BA-0030,B01,LOCAL,PLANNED,ba đình xe máy phượng,Địa phương / du lịch; ba đình xe máy phượng,local-informational,ba Đình xe Máy Phượng,ba-dinh-xe-may-phuong,blog/dia-phuong/ba-dinh-xe-may-phuong/index.html,blog/dia-phuong/,ba Đình,no,no-external,blog/dia-phuong/; /,none,yes,MotoAI Editorial,,,0,,,
